iter	RMSE
0	0.9842782115
1	0.9729108366
2	0.9614391664
3	0.9524839069
4	0.9415380407
5	0.9315838655
6	0.9215448057
7	0.9136938897
8	0.9030139196
9	0.893050832
10	0.8856250067
11	0.8766370614
12	0.8677977903
13	0.8582808984
14	0.8490122863
15	0.8418402807
16	0.8325468917
17	0.8240798787
18	0.817868889
19	0.8090738504
20	0.8019741822
21	0.7939899342
22	0.7868804165
23	0.7800676321
24	0.7739247675
25	0.7674096658
26	0.7602353355
27	0.7534423816
28	0.7458755837
29	0.7374385563
30	0.7312150289
31	0.7244061922
32	0.7197015568
33	0.7136853364
34	0.7081120345
35	0.7024612156
36	0.6953410139
37	0.6895784137
38	0.6836832591
39	0.677827825
40	0.6716402147
41	0.666544193
42	0.6607755134
43	0.6540309407
44	0.6486748422
45	0.6417911215
46	0.6361513581
47	0.6305520226
48	0.6248696997
49	0.6220305535
50	0.617561015
51	0.6119842079
52	0.6068999896
53	0.6019925751
54	0.5975834726
55	0.5920877152
56	0.5872652994
57	0.5827323077
58	0.5776647768
59	0.5730426889
60	0.568332649
61	0.5640161736
62	0.5599670409
63	0.5555455973
64	0.5509572757
65	0.5466068422
66	0.5426952048
67	0.5381270452
68	0.5345757926
69	0.5304016366
70	0.5258360637
71	0.5217114809
72	0.5181092685
73	0.5144096068
74	0.5108480968
75	0.506491317
76	0.5031219519
77	0.4994308196
78	0.4958038739
79	0.4921687784
80	0.4886707627
81	0.485335598
82	0.4817236566
83	0.4777293375
84	0.4741500306
85	0.4701502239
86	0.4671315458
87	0.4642319243
88	0.4613707621
89	0.4589096896
90	0.4555904822
91	0.4532314086
92	0.4510867642
93	0.4484562859
94	0.4448115148
95	0.4415106154
96	0.4385027925
97	0.4358487356
98	0.432489098
99	0.4295069441
100	0.4268202194
101	0.4247877903
102	0.4215121512
103	0.4188862818
104	0.4160251058
105	0.4133843561
106	0.410562101
107	0.4084062276
108	0.4057400311
109	0.4029846991
110	0.4007443869
111	0.3976932069
112	0.3951610328
113	0.3924522863
114	0.3898996992
115	0.3874081364
116	0.3854245493
117	0.3832737231
118	0.3811391755
119	0.3787399802
120	0.3765803471
121	0.3743235825
122	0.3718356147
123	0.3698894556
124	0.3682524563
125	0.3657243894
126	0.3640962389
127	0.3624804685
128	0.3606692151
129	0.358697383
130	0.3571871331
131	0.3551814765
132	0.3537088374
133	0.3519329509
134	0.3501867826
135	0.3486309347
136	0.3467120143
137	0.3449462302
138	0.3429287297
139	0.3413871275
140	0.3394852857
141	0.3375455585
142	0.3354839404
143	0.3338160464
144	0.3322947643
145	0.3302290195
146	0.3286176429
147	0.3268911981
148	0.3252141629
149	0.3237788472
150	0.3222992403
151	0.320495826
152	0.3190206975
153	0.3172587544
