iter	Passed	Remaining
0	62	62388
1	69	34765
2	72	24030
3	74	18609
4	77	15400
5	79	13209
6	82	11731
7	85	10650
8	88	9782
9	91	9088
10	94	8491
11	96	7972
12	98	7467
13	100	7097
14	103	6789
15	105	6499
16	108	6246
17	109	5982
18	111	5759
19	113	5568
20	116	5418
21	118	5286
22	121	5179
23	124	5082
24	127	4989
25	132	4957
26	136	4929
27	150	5226
28	152	5119
29	155	5021
30	175	5478
31	177	5375
32	180	5283
33	183	5217
34	185	5126
35	188	5039
36	190	4957
37	192	4880
38	195	4808
39	197	4737
40	199	4669
41	202	4615
42	205	4582
43	208	4531
44	210	4474
45	213	4421
46	215	4370
47	217	4320
48	220	4273
49	222	4228
50	224	4185
51	227	4143
52	229	4103
53	232	4077
54	235	4039
55	237	4001
56	239	3967
57	242	3932
58	244	3898
59	252	3959
60	268	4140
61	276	4186
62	279	4150
63	281	4115
64	284	4085
65	287	4072
66	290	4041
67	292	4010
68	295	3980
69	298	3960
70	299	3919
71	301	3891
72	303	3857
73	305	3820
74	307	3788
75	309	3756
76	310	3727
77	312	3691
78	314	3671
79	317	3655
80	320	3641
81	323	3619
82	325	3599
83	328	3579
84	331	3568
85	334	3559
86	337	3539
87	339	3520
88	342	3500
89	346	3504
90	350	3497
91	352	3480
92	355	3462
93	358	3458
94	361	3440
95	363	3426
96	366	3411
97	368	3394
98	370	3369
99	373	3360
100	376	3355
101	397	3496
102	401	3494
103	404	3480
104	406	3466
105	409	3450
106	411	3436
107	414	3420
108	416	3405
109	423	3430
110	427	3426
111	430	3413
112	433	3405
113	436	3390
114	438	3378
115	441	3366
116	444	3351
117	446	3338
118	449	3325
119	451	3312
120	455	3307
121	461	3320
122	518	3695
123	522	3688
124	525	3678
125	529	3676
126	537	3694
127	540	3684
128	544	3678
129	547	3664
130	550	3650
131	552	3634
132	555	3622
133	558	3606
134	561	3599
135	601	3819
136	604	3809
137	608	3800
138	611	3790
139	614	3773
140	616	3756
141	619	3741
142	621	3725
143	624	3711
144	627	3698
145	629	3682
146	632	3668
147	635	3656
148	640	3658
149	661	3748
150	664	3735
151	667	3721
152	669	3708
153	672	3694
154	675	3681
155	677	3665
156	681	3659
157	684	3646
158	686	3631
159	695	3648
160	700	3648
161	702	3634
162	705	3620
163	706	3602
164	708	3584
165	710	3567
166	711	3551
167	714	3538
168	717	3526
169	718	3509
170	720	3494
171	723	3484
172	726	3474
173	743	3529
174	746	3520
175	749	3507
176	751	3494
177	754	3485
178	757	3473
179	759	3460
180	762	3448
181	764	3435
182	767	3424
183	769	3412
184	771	3399
185	774	3389
186	777	3381
187	781	3373
188	783	3361
189	785	3349
190	788	3340
191	791	3328
192	793	3319
193	796	3310
194	799	3299
195	801	3288
196	804	3278
197	806	3267
198	808	3253
199	811	3244
200	813	3234
201	816	3225
202	818	3214
203	821	3204
204	826	3207
205	831	3204
206	833	3194
207	836	3184
208	838	3173
209	841	3163
210	843	3154
211	846	3144
212	848	3135
213	851	3127
214	854	3119
215	858	3114
216	861	3109
217	878	3152
218	881	3142
219	883	3132
220	886	3126
221	889	3116
222	891	3106
223	893	3097
224	909	3132
225	911	3122
226	914	3113
227	917	3108
228	920	3098
229	922	3089
230	925	3080
231	927	3070
232	929	3060
233	932	3052
234	934	3043
235	937	3034
236	940	3026
237	955	3058
238	958	3050
239	960	3041
240	963	3033
241	965	3023
242	967	3015
243	970	3006
244	972	2997
245	975	2988
246	977	2979
247	980	2972
248	982	2963
249	985	2955
250	999	2982
251	1001	2973
252	1004	2964
253	1006	2956
254	1009	2947
255	1011	2939
256	1013	2931
257	1016	2922
258	1018	2914
259	1022	2908
260	1026	2906
261	1029	2900
262	1045	2928
263	1047	2920
264	1050	2912
265	1052	2905
266	1054	2893
267	1056	2885
268	1059	2877
269	1061	2870
270	1064	2862
271	1068	2859
272	1071	2852
273	1073	2845
274	1076	2837
275	1081	2837
276	1084	2829
277	1086	2822
278	1088	2813
279	1091	2805
280	1093	2798
281	1096	2791
282	1099	2784
283	1101	2778
284	1104	2771
285	1107	2764
286	1109	2756
287	1112	2749
288	1114	2741
289	1116	2734
290	1119	2727
291	1122	2721
292	1124	2713
293	1127	2706
294	1129	2699
295	1132	2692
296	1134	2685
297	1136	2677
298	1138	2670
299	1141	2663
300	1144	2656
301	1146	2649
302	1148	2642
303	1151	2636
304	1154	2630
305	1156	2623
306	1159	2616
307	1161	2609
308	1164	2604
309	1167	2597
310	1169	2591
311	1172	2584
312	1175	2580
313	1178	2573
314	1180	2567
315	1183	2561
316	1185	2554
317	1188	2548
318	1191	2542
319	1193	2536
320	1196	2530
321	1199	2524
322	1201	2519
323	1204	2512
324	1207	2506
325	1209	2500
326	1212	2494
327	1214	2488
328	1217	2483
329	1219	2476
330	1222	2470
331	1224	2464
332	1227	2458
333	1229	2452
334	1232	2447
335	1235	2441
336	1237	2434
337	1240	2429
338	1242	2422
339	1245	2416
340	1247	2411
341	1250	2405
342	1252	2399
343	1254	2393
344	1257	2387
345	1259	2381
346	1262	2375
347	1266	2372
348	1269	2367
349	1274	2366
350	1278	2364
351	1355	2496
352	1357	2487
353	1359	2481
354	1362	2475
355	1364	2468
356	1367	2462
357	1370	2456
358	1372	2450
359	1375	2445
360	1378	2439
361	1382	2436
362	1384	2430
363	1387	2424
364	1389	2417
365	1392	2411
366	1395	2407
367	1398	2401
368	1402	2398
369	1405	2393
370	1411	2392
371	1414	2388
372	1417	2382
373	1419	2376
374	1422	2371
375	1425	2365
376	1427	2359
377	1430	2353
378	1437	2354
379	1441	2351
380	1443	2345
381	1447	2340
382	1450	2336
383	1452	2330
384	1456	2325
385	1458	2319
386	1460	2313
387	1463	2308
388	1465	2302
389	1468	2296
390	1471	2292
391	1474	2286
392	1477	2282
393	1494	2298
394	1496	2292
395	1500	2288
396	1504	2285
397	1509	2283
398	1512	2278
399	1515	2273
400	1522	2273
401	1524	2267
402	1527	2262
403	1529	2256
404	1532	2250
405	1534	2245
406	1536	2239
407	1539	2233
408	1541	2227
409	1544	2221
410	1546	2216
411	1548	2210
412	1551	2205
413	1553	2199
414	1556	2193
415	1558	2188
416	1561	2182
417	1563	2176
418	1565	2171
419	1568	2165
420	1570	2160
421	1573	2154
422	1576	2149
423	1578	2144
424	1581	2139
425	1583	2133
426	1585	2128
427	1588	2122
428	1591	2117
429	1593	2112
430	1596	2107
431	1598	2102
432	1601	2096
433	1603	2091
434	1606	2086
435	1608	2080
436	1610	2075
437	1613	2070
438	1616	2066
439	1619	2060
440	1621	2055
441	1624	2050
442	1626	2045
443	1629	2040
444	1631	2035
445	1638	2035
446	1649	2040
447	1651	2035
448	1655	2031
449	1657	2025
450	1659	2020
451	1662	2015
452	1664	2010
453	1667	2005
454	1669	1999
455	1673	1995
456	1675	1991
457	1678	1986
458	1680	1980
459	1692	1986
460	1694	1981
461	1698	1977
462	1700	1972
463	1703	1967
464	1706	1963
465	1729	1981
466	1731	1976
467	1734	1971
468	1736	1966
469	1739	1961
470	1741	1956
471	1744	1951
472	1746	1946
473	1749	1941
474	1751	1935
475	1753	1930
476	1756	1925
477	1760	1922
478	1763	1918
479	1765	1913
480	1768	1908
481	1770	1903
482	1773	1897
483	1775	1892
484	1777	1887
485	1780	1883
486	1783	1878
487	1785	1873
488	1787	1867
489	1788	1861
490	1791	1857
491	1795	1853
492	1799	1850
493	1802	1846
494	1805	1842
495	1808	1837
496	1810	1832
497	1812	1827
498	1815	1822
