iter	Passed	Remaining
0	49	49736
1	50	25344
2	51	17031
3	51	12934
4	52	10431
5	53	8793
6	53	7591
7	54	6704
8	54	6016
9	55	5464
10	55	5020
11	56	4644
12	56	4326
13	57	4053
14	58	3818
15	58	3612
16	59	3425
17	59	3255
18	60	3099
19	60	2949
20	60	2815
21	60	2709
22	62	2665
23	63	2572
24	63	2485
25	64	2407
26	64	2335
27	65	2272
28	65	2207
29	66	2144
30	67	2096
31	67	2044
32	68	1996
33	69	1963
34	69	1925
35	70	1882
36	70	1837
37	71	1800
38	71	1764
39	72	1732
40	72	1700
41	73	1670
42	73	1641
43	74	1614
44	74	1586
45	75	1559
46	75	1531
47	75	1506
48	76	1480
49	76	1457
50	77	1435
51	77	1419
52	78	1399
53	78	1381
54	79	1362
55	79	1345
56	80	1328
57	80	1311
58	81	1296
59	82	1290
60	83	1278
61	83	1265
62	84	1252
63	84	1238
64	85	1225
65	85	1211
66	86	1197
67	86	1185
68	87	1174
69	87	1162
70	87	1150
71	88	1139
72	88	1129
73	89	1118
74	89	1108
75	90	1097
76	90	1087
77	91	1077
78	91	1068
79	92	1058
80	92	1049
81	93	1041
82	93	1033
83	93	1024
84	94	1016
85	95	1009
86	95	1001
87	95	993
88	96	987
89	96	979
90	97	971
91	97	964
92	98	957
93	98	949
94	98	942
95	99	935
96	99	929
97	100	922
98	100	915
99	100	908
100	101	902
101	101	895
102	102	890
103	102	884
104	103	878
105	103	872
106	103	866
107	104	860
108	104	854
109	104	848
110	105	843
111	105	838
112	106	833
113	106	827
114	106	822
115	107	817
116	107	812
117	108	807
118	108	802
119	108	798
120	109	793
121	109	788
122	110	784
123	110	780
124	110	775
125	111	772
126	111	768
127	112	764
128	112	760
129	113	756
130	113	751
131	113	748
132	114	743
133	114	740
134	114	735
135	115	732
136	115	728
137	116	724
138	116	720
139	116	717
140	117	713
141	117	709
142	117	706
143	118	702
144	118	699
145	118	695
146	119	692
147	119	689
148	120	685
149	120	682
150	120	679
151	121	676
152	121	673
153	121	670
154	122	666
155	122	663
156	123	661
157	123	658
158	124	656
159	124	653
160	124	651
161	125	647
162	125	645
163	126	643
164	126	641
165	127	638
166	127	636
167	127	632
168	128	630
169	128	627
170	129	625
171	129	623
172	129	621
173	130	618
174	130	617
175	131	614
176	131	613
177	132	611
178	132	609
179	133	608
180	134	607
181	134	606
182	135	604
183	136	603
184	136	602
185	137	601
186	141	613
187	166	720
188	170	729
189	172	735
190	173	735
191	174	734
192	179	748
193	179	746
194	180	744
195	180	741
196	181	739
197	181	737
198	182	734
199	183	734
200	184	732
201	185	732
202	185	730
203	186	728
204	187	725
205	187	723
206	188	721
207	189	720
208	190	719
209	190	717
210	191	715
211	191	713
212	192	711
213	192	708
214	193	705
215	194	705
216	194	702
217	196	704
218	196	702
219	197	700
220	198	698
221	198	696
222	199	693
223	199	691
224	199	688
225	200	686
226	213	728
227	214	725
228	215	724
229	215	722
230	217	724
231	218	722
232	219	722
233	220	721
234	220	718
235	222	719
236	222	715
237	223	716
238	224	714
239	225	713
240	226	712
241	226	709
242	227	707
243	227	705
244	228	704
245	229	702
246	229	700
247	230	699
248	231	697
249	231	694
250	232	692
251	236	701
252	236	699
253	237	696
254	237	694
255	238	692
256	238	689
257	239	687
258	239	684
259	247	703
260	247	701
