iter	Passed	Remaining
0	55	55564
1	56	28088
2	57	18951
3	57	14359
4	58	11602
5	59	9786
6	59	8501
7	60	7515
8	61	6745
9	61	6128
10	62	5632
11	63	5196
12	64	4908
13	66	4648
14	67	4433
15	68	4199
16	69	4008
17	70	3825
18	70	3645
19	71	3508
20	72	3363
21	72	3242
22	73	3127
23	74	3026
24	75	2943
25	76	2852
26	76	2761
27	77	2679
28	78	2619
29	79	2585
30	81	2534
31	81	2472
32	82	2411
33	82	2355
34	83	2300
35	84	2250
36	84	2202
37	85	2159
38	85	2114
39	86	2072
40	87	2040
41	87	2005
42	88	1970
43	89	1937
44	89	1906
45	90	1878
46	91	1845
47	91	1815
48	92	1794
49	93	1767
50	93	1743
51	94	1720
52	94	1696
53	95	1677
54	96	1659
55	97	1639
56	97	1621
57	98	1599
58	99	1582
59	99	1562
60	100	1544
61	100	1527
62	102	1521
63	102	1506
64	103	1490
65	104	1473
66	104	1456
67	105	1440
68	105	1424
69	106	1412
70	106	1397
71	107	1383
72	107	1369
73	108	1352
74	120	1482
75	123	1499
76	124	1493
77	138	1631
78	218	2546
79	221	2544
80	221	2515
81	222	2487
82	222	2459
83	223	2433
84	223	2407
85	226	2410
86	229	2404
87	231	2394
88	231	2370
89	232	2345
90	232	2320
91	232	2297
92	233	2274
93	233	2252
94	238	2267
95	244	2299
96	244	2277
97	245	2256
98	245	2235
99	245	2213
100	248	2208
101	248	2188
102	249	2177
103	251	2162
104	251	2147
105	252	2128
106	254	2127
107	255	2109
108	255	2091
109	256	2073
110	257	2059
111	257	2045
112	258	2030
113	259	2018
114	260	2001
115	261	1993
116	262	1977
117	263	1967
118	263	1967
119	265	1960
120	266	1951
121	268	1947
122	268	1932
123	269	1917
124	269	1903
125	272	1901
126	277	1921
127	279	1916
128	280	1905
129	280	1894
130	282	1886
131	283	1876
132	284	1867
133	285	1856
134	288	1859
135	288	1845
136	288	1832
137	289	1820
138	289	1808
139	291	1805
140	292	1796
141	296	1803
142	297	1794
143	298	1783
144	298	1772
145	304	1794
146	305	1783
147	307	1784
148	308	1773
149	308	1762
150	309	1751
151	309	1739
152	310	1729
153	310	1718
154	314	1724
155	315	1716
156	316	1708
157	317	1703
158	320	1705
159	320	1695
160	322	1691
161	323	1681
162	324	1674
163	326	1673
164	326	1663
165	327	1653
166	327	1643
167	328	1634
168	329	1632
169	456	2242
170	457	2229
171	463	2246
172	466	2244
173	467	2231
174	469	2224
175	471	2219
176	472	2207
177	472	2194
178	472	2181
179	473	2168
180	473	2156
181	474	2143
182	474	2131
183	475	2118
184	481	2130
185	481	2119
186	483	2114
187	484	2102
188	485	2092
189	485	2080
190	485	2069
191	489	2072
192	490	2062
193	491	2051
194	496	2060
195	516	2130
196	518	2124
197	519	2112
198	520	2106
199	521	2095
200	522	2085
201	522	2074
202	523	2066
203	524	2056
204	524	2045
205	525	2034
206	525	2024
207	526	2013
208	528	2007
209	528	1998
210	529	1988
211	533	1992
212	535	1989
213	536	1979
214	536	1969
215	537	1959
216	537	1949
217	538	1939
218	541	1941
219	542	1931
220	542	1922
221	543	1912
222	543	1903
223	544	1894
224	544	1884
225	545	1875
226	545	1866
227	546	1857
228	547	1850
229	548	1843
230	548	1834
231	550	1831
232	552	1824
233	552	1817
234	553	1808
235	553	1800
236	555	1794
237	555	1787
238	556	1778
239	556	1770
240	557	1762
241	558	1755
242	558	1747
243	559	1739
244	559	1731
245	559	1723
246	561	1718
247	561	1710
248	562	1702
249	565	1704
250	568	1701
251	568	1694
252	572	1698
253	573	1691
254	576	1690
255	576	1683
256	579	1680
257	583	1684
258	584	1678
259	584	1671
260	585	1663
261	585	1656
262	586	1648
263	587	1642
264	588	1637
265	589	1632
266	590	1627
267	590	1620
268	592	1615
269	592	1615
270	595	1612
271	601	1622
272	602	1617
273	603	1611
274	604	1604
275	620	1638
276	626	1647
277	627	1640
278	628	1636
279	629	1629
280	630	1624
281	633	1623
282	633	1616
283	646	1640
284	651	1645
285	651	1639
286	652	1632
287	652	1625
288	653	1618
289	653	1612
290	654	1605
291	655	1599
292	655	1593
293	656	1586
294	656	1580
295	657	1574
296	657	1567
297	658	1561
298	658	1555
299	659	1550
300	660	1544
301	660	1537
302	661	1531
303	661	1525
304	662	1519
305	665	1518
306	667	1515
307	667	1509
308	668	1503
309	674	1511
310	675	1505
311	675	1499
312	676	1494
313	677	1490
314	678	1484
315	679	1479
316	681	1476
317	681	1471
318	682	1465
319	682	1459
320	686	1460
321	688	1459
322	689	1454
323	693	1454
324	693	1449
325	694	1443
326	694	1438
327	695	1434
328	696	1428
329	696	1423
330	697	1418
331	699	1415
332	701	1413
333	704	1412
334	705	1408
335	706	1403
336	706	1398
337	706	1392
338	721	1416
339	728	1422
340	731	1421
341	731	1416
342	732	1411
343	732	1405
344	735	1405
345	736	1399
346	736	1394
347	737	1389
348	737	1384
349	739	1381
350	740	1376
351	740	1371
352	741	1366
353	741	1361
354	744	1359
355	744	1354
356	745	1349
357	745	1344
358	747	1343
359	748	1338
360	749	1333
361	750	1330
362	752	1327
363	752	1322
364	753	1318
365	754	1314
366	755	1309
367	755	1304
368	760	1307
369	761	1303
370	762	1299
371	763	1295
372	828	1399
373	828	1394
374	829	1389
375	830	1385
376	831	1381
377	832	1376
378	833	1373
379	834	1368
380	838	1369
381	840	1366
382	844	1367
383	845	1363
384	847	1360
385	847	1355
386	848	1350
387	848	1345
388	849	1341
389	850	1336
390	850	1331
391	850	1326
392	851	1321
393	851	1317
394	852	1312
395	852	1307
396	853	1302
397	854	1298
398	858	1299
399	861	1299
400	864	1297
401	864	1292
402	865	1287
403	865	1283
404	865	1278
405	866	1273
406	881	1290
407	882	1286
408	882	1281
409	883	1278
410	884	1273
411	886	1270
412	887	1267
413	887	1262
414	888	1258
415	889	1254
416	889	1249
417	890	1245
418	890	1240
419	890	1236
420	891	1231
421	891	1227
422	892	1223
423	909	1241
424	916	1245
425	916	1241
426	917	1236
427	917	1232
428	918	1227
429	919	1224
430	920	1221
431	928	1226
432	929	1222
433	930	1218
434	931	1215
435	931	1210
436	932	1206
437	933	1202
438	933	1198
439	935	1195
440	935	1191
441	936	1187
442	936	1182
443	937	1178
444	937	1174
445	937	1170
446	938	1166
447	939	1162
448	939	1158
449	940	1154
450	959	1173
451	966	1177
452	967	1173
453	967	1169
454	968	1164
455	968	1160
456	969	1156
457	969	1152
458	969	1148
459	970	1144
460	981	1152
461	981	1148
462	982	1144
463	983	1140
464	983	1136
465	984	1132
466	984	1128
467	985	1124
468	985	1120
469	986	1116
470	989	1115
471	989	1111
472	990	1107
473	992	1106
474	993	1102
475	998	1104
476	1000	1101
477	1002	1098
478	1002	1095
479	1003	1091
480	1004	1087
481	1004	1084
482	1005	1080
483	1005	1076
484	1006	1073
485	1009	1072
486	1017	1076
487	1018	1072
488	1019	1070
489	1020	1067
490	1021	1063
491	1022	1059
492	1022	1056
493	1023	1052
494	1024	1049
495	1024	1045
496	1025	1042
497	1026	1039
498	1027	1035
499	1027	1031
500	1029	1029
501	1030	1026
502	1030	1022
503	1032	1020
504	1035	1019
505	1036	1015
506	1036	1011
507	1037	1008
508	1037	1004
509	1039	1002
510	1044	1003
511	1045	1000
512	1045	996
513	1046	993
514	1046	989
515	1053	992
516	1054	988
517	1054	985
518	1055	981
519	1055	978
520	1056	974
521	1056	971
522	1058	969
523	1059	965
524	1059	962
525	1059	958
526	1060	955
527	1061	952
528	1061	949
529	1062	945
530	1062	942
531	1063	938
532	1063	935
533	1064	932
534	1064	928
535	1064	925
536	1065	921
537	1065	918
538	1066	915
539	1066	912
540	1067	909
541	1067	905
542	1068	902
543	1069	899
544	1069	896
545	1072	894
546	1073	892
547	1074	889
548	1075	886
549	1076	883
550	1076	880
551	1077	877
552	1077	874
553	1078	871
554	1173	944
555	1174	941
556	1175	938
557	1176	935
558	1177	932
559	1178	929
560	1178	925
561	1179	922
562	1179	919
563	1180	915
564	1180	912
565	1181	909
566	1181	905
567	1182	902
568	1184	900
569	1184	897
570	1185	893
571	1186	890
572	1186	887
573	1187	884
574	1189	882
575	1190	879
576	1191	876
577	1194	874
578	1194	871
579	1195	868
580	1195	865
581	1197	862
582	1198	859
583	1199	857
584	1201	855
585	1201	851
586	1202	848
587	1202	845
