iter	RMSE
0	1.006506631
1	0.9855501804
2	0.9658438948
3	0.9484660472
4	0.9319939661
5	0.9146342849
6	0.8972354219
7	0.8813336196
8	0.8651665224
9	0.848704679
10	0.8317565063
11	0.8166415642
12	0.8025818328
13	0.7874189897
14	0.774723925
15	0.7608442105
16	0.7490835637
17	0.7369703037
18	0.724274115
19	0.7107765484
20	0.6992453144
21	0.6863516156
22	0.6762919585
23	0.6664353584
24	0.6563062672
25	0.6478252378
26	0.6388668614
27	0.6295110041
28	0.6203080063
29	0.6099282284
30	0.6005718881
31	0.5902354313
32	0.5822471845
33	0.5755292005
34	0.5680613719
35	0.560238779
36	0.5530847936
37	0.545422319
38	0.5377003834
39	0.5296640371
40	0.5226936734
41	0.5167133247
42	0.510306737
43	0.5031837397
44	0.4966624023
45	0.4913597541
46	0.4866547868
47	0.4806786991
48	0.4756281739
49	0.4698271844
50	0.4658365046
51	0.4596407918
52	0.455161294
53	0.4512638229
54	0.4463312826
55	0.4428030076
56	0.4387872789
57	0.4342617492
58	0.4308183912
59	0.4265936155
60	0.4220089642
61	0.4178659188
62	0.4146688767
63	0.4101008159
64	0.4066976151
65	0.4019135712
66	0.3985291799
67	0.3951886654
68	0.3921765738
69	0.3895095222
70	0.3856458895
71	0.3831036888
72	0.3798042326
73	0.3763811409
74	0.3732521827
75	0.370132939
76	0.3667379789
77	0.3643342159
78	0.3625094611
79	0.360283974
80	0.357641859
81	0.3551860672
82	0.3534382756
83	0.3515556134
84	0.3488560831
85	0.3464047019
86	0.344491871
87	0.3419962021
88	0.3394651
89	0.3372179477
90	0.3345449146
91	0.3324319767
92	0.3308317922
93	0.3284021901
94	0.3261622113
95	0.3247554224
96	0.3231564871
97	0.3212949732
98	0.3195580503
99	0.3177232957
100	0.3154877793
101	0.313491028
102	0.3121147271
103	0.3107429894
104	0.3093466721
105	0.307470931
106	0.3056190932
107	0.3032564953
108	0.3016189649
109	0.3005469493
110	0.299028893
111	0.2978580133
112	0.2963737812
113	0.2952754339
114	0.2939702985
115	0.2926406335
116	0.2911799363
117	0.2894272827
118	0.2881940501
119	0.2874015889
120	0.2857624244
121	0.2845734004
122	0.2833486099
123	0.2815634768
124	0.2804107964
125	0.2794471153
126	0.2784214111
127	0.2774296752
128	0.2761032995
129	0.2749564961
